iter	MultiClass
0	3.069121963
1	2.994843902
2	2.920956346
3	2.870841371
4	2.809689676
5	2.760725656
6	2.703618827
7	2.662132127
8	2.6032413
9	2.548507449
10	2.524919331
11	2.476198046
12	2.419741183
13	2.381009798
14	2.318199167
15	2.255364994
16	2.207695004
17	2.175349069
18	2.1326557
19	2.114888566
20	2.09137783
21	2.049891914
22	2.020804049
23	1.977567635
24	1.955292513
25	1.934424336
26	1.921661505
27	1.894701226
28	1.871623259
29	1.855507346
30	1.831140304
31	1.80831251
32	1.781990283
33	1.754550621
34	1.737259502
35	1.719207133
36	1.691413472
37	1.677530655
38	1.663717159
39	1.640318875
40	1.625461126
41	1.612590418
42	1.587326768
43	1.568808276
44	1.556866203
45	1.54322132
46	1.534940897
47	1.526033411
48	1.507427878
49	1.492673644
50	1.474878478
51	1.46570236
52	1.444325385
53	1.426741889
54	1.41478033
55	1.40085514
56	1.383209954
57	1.371325939
58	1.364581066
59	1.355453914
60	1.342888058
61	1.328643752
62	1.317538178
63	1.300761813
64	1.295151709
65	1.287281308
66	1.280511101
67	1.271041926
68	1.262649065
69	1.244427865
70	1.231384514
71	1.223655674
72	1.213816961
73	1.20422601
74	1.191949329
75	1.181915989
76	1.174355083
77	1.166445978
78	1.157915106
79	1.151255679
80	1.144367988
81	1.137213397
82	1.127222534
83	1.121760514
84	1.114042257
85	1.105528484
86	1.095721524
87	1.090438026
88	1.08044304
89	1.071460049
90	1.065544775
91	1.051378772
92	1.046048861
93	1.039897281
94	1.027350386
95	1.015720872
96	1.008378368
97	1.004881219
98	1.000341531
99	0.9926603029
