iter	Passed	Remaining
0	129	12831
1	244	11976
2	360	11650
3	493	11848
4	677	12877
5	834	13075
6	962	12793
7	1084	12468
8	1226	12403
9	1338	12042
10	1876	15184
11	2402	17614
12	2654	17764
13	2865	17600
14	3086	17490
15	3245	17037
16	3386	16534
17	3537	16116
18	3695	15753
19	3815	15262
20	3938	14814
21	4063	14405
22	4207	14086
23	4343	13755
24	4481	13443
25	4630	13178
26	4753	12850
27	4876	12539
28	5006	12258
29	5124	11957
30	5289	11773
31	5536	11765
32	5725	11625
33	5940	11532
34	6126	11376
35	6307	11213
36	6538	11133
37	7048	11499
38	7229	11307
39	7377	11065
40	7520	10822
41	7662	10581
42	7809	10352
43	7949	10117
44	8084	9880
45	8213	9641
46	8347	9412
47	8505	9214
48	8657	9010
49	8794	8794
50	8932	8582
51	9093	8394
52	9234	8188
53	9366	7978
54	9499	7772
55	9650	7582
56	9787	7383
57	9923	7185
58	10061	6991
59	10182	6788
60	10305	6588
61	10425	6389
62	10550	6196
63	10737	6040
64	10856	5845
65	10973	5652
66	11087	5461
67	11213	5276
68	11330	5090
69	11449	4907
70	11568	4725
71	11702	4550
72	11825	4373
73	11940	4195
74	12066	4022
75	12183	3847
76	12303	3675
77	12425	3504
78	12543	3334
79	12681	3170
80	12795	3001
81	12929	2838
82	13067	2676
83	13183	2511
84	13299	2346
85	13410	2183
86	13543	2023
87	13689	1866
88	13800	1705
89	13922	1546
90	14035	1388
91	14152	1230
92	14264	1073
93	14385	918
94	14512	763
95	14663	610
96	14782	457
97	14895	303
98	15013	151
99	15128	0
